 _____ _____ _____               _ 
|     |     |     |___ ___ ___ _| |
|   --|   --| | | | . |  _| -_| . |
|_____|_____|_|_|_|  _|_| |___|___|
                  |_|              

using CPU (32 thread(s))

Reweighted 2460 sequences with threshold 0.8 to Beff=1806.51 weight mean=0.734354, min=0.0322581, max=1

Will optimize 82691309 64-bit variables

iter	eval	f(x)    	║x║     	║g║     	step
1   	1   	1.01763e+06	84791.2 	3.8634252e+09	1.45e-05
2   	1   	985182  	84794.7 	3.1072214e+09	9.55e-06
3   	1   	953116  	84801.4 	2.3773801e+09	8.38e-06
4   	1   	921478  	84812.9 	1.7916003e+09	8.84e-06
5   	1   	890248  	84831.4 	1.3254872e+09	1.03e-05
6   	1   	859471  	84860.1 	9.7299504e+08	1.28e-05
7   	1   	829138  	84904.1 	7.3844994e+08	1.69e-05
8   	1   	799229  	84970.7 	5.7987765e+08	2.21e-05
9   	1   	769752  	85069.8 	4.8144261e+08	2.88e-05
10  	1   	740694  	85214.8 	4.1267493e+08	3.62e-05
11  	1   	712145  	85422.9 	3.6626906e+08	4.46e-05
12  	1   	684567  	85718.4 	3.4862352e+08	5.4e-05
13  	1   	659895  	86145.1 	5.643351e+08	6.34e-05
14  	2   	647370  	86481.2 	3.0076305e+08	2.57e-05
15  	1   	635219  	86918   	3.7372019e+08	5.49e-05
16  	2   	628643  	87186   	2.5630953e+08	2.47e-05
17  	1   	621770  	87449.3 	2.8524068e+08	3.39e-05
18  	1   	614808  	87698.6 	2.2119588e+08	2.77e-05
19  	1   	607950  	87936   	2.1456239e+08	3.32e-05
20  	1   	601086  	88173.9 	1.75913e+08	3.36e-05
21  	1   	594724  	88411.9 	1.9645179e+08	4.05e-05
22  	1   	588856  	88687   	1.6113011e+08	4.08e-05
23  	2   	585679  	88853.3 	1.2130328e+08	3.01e-05
24  	1   	582504  	89006   	1.48139e+08	3.86e-05
25  	1   	579326  	89152.3 	1.0987292e+08	3.11e-05
26  	1   	576334  	89288.8 	1.3341322e+08	4.16e-05
27  	1   	573619  	89433.7 	1.1192445e+08	3.74e-05
28  	2   	572116  	89514.9 	85747012	2.67e-05
29  	1   	570626  	89579.1 	1.002952e+08	3.21e-05
30  	1   	569046  	89634.2 	80321968	2.69e-05
31  	1   	567576  	89674.8 	89069545	3.08e-05
32  	1   	566080  	89709.6 	77589967	2.97e-05
33  	2   	565218  	89721.5 	62830416	1.7e-05
34  	1   	564325  	89724.5 	58044298	1.74e-05
35  	1   	563391  	89720.7 	56197620	1.62e-05
36  	1   	562428  	89712   	50898709	1.43e-05
37  	1   	561461  	89699.3 	42324906	1.36e-05
38  	1   	560496  	89682.3 	39413123	1.47e-05
39  	1   	559517  	89661.1 	38102707	1.46e-05
40  	1   	558538  	89636.6 	31692880	1.39e-05
41  	1   	557572  	89608.1 	28676802	1.58e-05
42  	1   	556605  	89574.5 	27004303	1.7e-05
43  	1   	555651  	89536.1 	23845838	1.77e-05
44  	1   	554708  	89491.4 	22750377	2.02e-05
45  	1   	553791  	89439.5 	19590629	2.18e-05
46  	1   	552909  	89377   	21386687	2.72e-05
47  	1   	552090  	89300.4 	18779708	2.82e-05
48  	2   	551658  	89248.6 	16515782	2.01e-05
49  	1   	551255  	89189.7 	17123218	2.41e-05
50  	1   	550877  	89117.4 	19129076	2.69e-05
51  	2   	550670  	89071.9 	15264531	1.45e-05
52  	1   	550475  	89026.1 	15174282	1.74e-05
53  	1   	550276  	88975.3 	17112932	1.86e-05
54  	1   	550081  	88922.5 	15453055	1.67e-05
55  	1   	549899  	88866.9 	14568441	1.9e-05
56  	2   	549794  	88834.9 	12786268	1.13e-05
57  	1   	549685  	88806.8 	11753627	1.1e-05
58  	1   	549571  	88781.4 	11824313	1.06e-05
59  	1   	549453  	88758.8 	10711375	9.15e-06
60  	1   	549333  	88738.8 	9415725.5	8.75e-06
61  	1   	549212  	88720.6 	8997403.8	8.91e-06
62  	1   	549090  	88703.6 	8553652 	8.46e-06
63  	1   	548966  	88688   	7719524.6	8.08e-06
64  	1   	548842  	88673.4 	7088869.3	8.24e-06
65  	1   	548718  	88659.5 	6607031.5	8.4e-06
66  	1   	548594  	88646.3 	5906681.3	8.5e-06
67  	1   	548471  	88633.4 	5363081.1	9.09e-06
68  	1   	548348  	88620.8 	5135102.6	9.75e-06
69  	1   	548225  	88608.3 	4636658.5	1e-05
70  	1   	548104  	88595.9 	4039920.3	1.1e-05
71  	1   	547984  	88583.3 	3905860 	1.28e-05
72  	1   	547866  	88570.2 	3593087.6	1.38e-05
73  	1   	547753  	88556.4 	3284956.2	1.59e-05
74  	1   	547646  	88541.3 	3377205.7	1.96e-05
75  	1   	547553  	88523.3 	3402612.2	2.32e-05
76  	2   	547508  	88510.1 	3306736.6	1.75e-05
77  	2   	547485  	88501.6 	2843910.1	1.21e-05
78  	2   	547472  	88497.2 	2635829.7	7.59e-06
79  	1   	547458  	88493.7 	2562527.3	6.8e-06
80  	1   	547442  	88490.9 	2538838.6	5.79e-06
81  	1   	547427  	88488.8 	2458759 	4.81e-06
82  	1   	547411  	88487.1 	2324131.8	4.12e-06
83  	1   	547395  	88485.7 	2179566.6	3.7e-06
84  	1   	547378  	88484.6 	2053227.5	3.42e-06
85  	1   	547362  	88483.6 	1948049.1	3.2e-06
86  	1   	547346  	88482.9 	1856017.4	3.02e-06
87  	1   	547329  	88482.2 	1770824 	2.88e-06
88  	1   	547313  	88481.7 	1690248.6	2.76e-06
89  	1   	547296  	88481.3 	1612424.2	2.67e-06
90  	1   	547280  	88480.9 	1533180.8	2.6e-06
91  	1   	547263  	88480.6 	1447717.1	2.56e-06
92  	1   	547247  	88480.4 	1354785.4	2.56e-06
93  	1   	547230  	88480.2 	1259385.7	2.59e-06
94  	1   	547214  	88480.1 	1171072 	2.67e-06
95  	1   	547198  	88480.1 	1097859.2	2.76e-06
96  	1   	547181  	88480   	1039407.4	2.84e-06
97  	1   	547165  	88480   	985590.1	2.92e-06
98  	1   	547148  	88480.1 	923392.36	3e-06
99  	1   	547132  	88480.2 	847472.89	3.13e-06
100 	1   	547116  	88480.4 	765951.38	3.36e-06

Exit with status code -1022 - Maximum number of iterations reached.

Final fx = 547115.506969

xnorm = 43.5852
Output can be found in 278.mtx
